id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,#voxels
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,17,5,251389374
676263239,PAM01_a(y5)_L,,PAM01_a,Traced,1358,128,350,37,317801168
692093440,KCg-m_R,,KCg-m,Traced,686,219,430,178,346662705
692119287,KCg-m_R,,KCg-m,Traced,739,258,425,205,387403565
692430198,KCg-m_R,,KCg-m,Traced,789,213,472,179,376818740
692434135,KCg-m_R,,KCg-m,Traced,746,224,429,182,355369120
692810011,KCg-m_R,,KCg-m,Traced,874,280,544,228,423745211
692818786,KCg-m_R,,KCg-m,Traced,694,234,442,180,343570183
692818802,KCg-m_R,,KCg-m,Traced,799,260,510,202,404012995
693099031,KCg-m_R,,KCg-m,Traced,727,301,489,246,249727367
693099102,KCg-m_R,,KCg-m,Traced,714,238,545,196,247816785
693133603,KCg-m_R,,KCg-m,Traced,783,241,489,196,352585401
693500431,KCg-m_R,,KCg-m,Traced,820,254,537,208,373935857
693500652,KCg-m_R,,KCg-m,Traced,780,262,466,205,348457193
693785371,KCg-m_R,,KCg-m,Traced,696,215,398,183,251458998
693837780,KCg-m_R,,KCg-m,Traced,728,232,403,192,375346808
693841887,KCg-m_R,,KCg-m,Traced,761,228,468,185,350863600
693846112,KCg-m_R,,KCg-m,Traced,787,234,491,189,382253016
694524222,KCg-m_R,,KCg-m,Traced,664,206,404,166,354693134
701371011,SMP370_R,,SMP370,Traced,1736,699,8,2,2101402424
701923413,mALD2_L,,mALD2,Traced,3712,2615,19,30,4810804229
704409534,KCab-p_R,,KCab-p,Traced,685,243,3,1,354049999
704466265,MBON12(y2a'1)_R,,MBON12,Traced,9126,1132,4912,38,1733289825
704816317,,,,Traced,925,1100,2,2,1390622287
706819341,PAM13(B'1ap)_R,,PAM13,Traced,754,215,1,1,296744630
722450065,KCg-m_R,,KCg-m,Traced,756,242,452,199,246602185
722463321,KCg-d_R,,KCg-d,Traced,482,191,331,165,207036763
722467632,KCg-m_R,,KCg-m,Traced,789,234,477,192,347232842
722467714,KCg-d_R,,KCg-d,Traced,555,208,354,172,341763006
722471778,KCg-m_R,,KCg-m,Traced,698,243,441,193,352440670
722471825,KCg-d_R,,KCg-d,Traced,489,200,332,170,299006095
